Country Name	Country Code	Series Name	Series Code	2016 [YR2016]
Afghanistan	AFG	Export volume index (2000 = 100)	TX.QTY.MRCH.XD.WD	185.0455137
Afghanistan	AFG	Exports of goods and services (% of GDP)	NE.EXP.GNFS.ZS	6.89624956045755
Afghanistan	AFG	Exports of goods and services (annual % growth)	NE.EXP.GNFS.KD.ZG	-0.328469174491559
Afghanistan	AFG	Fertility rate, total (births per woman)	SP.DYN.TFRT.IN	4.635
Afghanistan	AFG	Fixed broadband Internet subscribers (per 100 people)	IT.NET.BBND.P2	0.0253952904937299
Afghanistan	AFG	Foreign direct investment, net inflows (% of GDP)	BX.KLT.DINV.WD.GD.ZS	0.480709517928724
Afghanistan	AFG	Foreign direct investment, net outflows (% of GDP)	BM.KLT.DINV.WD.GD.ZS	-0.0758945950132622
Afghanistan	AFG	Fuel exports (% of merchandise exports)	TX.VAL.FUEL.ZS.UN	..
Afghanistan	AFG	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2.36671191565063
Afghanistan	AFG	GDP per capita (constant 2005 US$)	NY.GDP.PCAP.KD	617.889972323552
Afghanistan	AFG	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	1802.69556548499
Afghanistan	AFG	GDP per person employed (constant 1990 PPP $)	SL.GDP.PCAP.EM.KD	6275.91015625
Afghanistan	AFG	GINI index (World Bank estimate)	SI.POV.GINI	..
Afghanistan	AFG	Government expenditure on education, total (% of GDP)	SE.XPD.TOTL.GD.ZS	..
Afghanistan	AFG	Gross capital formation (% of GDP)	NE.GDI.TOTL.ZS	17.7066191389992
Afghanistan	AFG	Gross capital formation (annual % growth)	NE.GDI.TOTL.KD.ZG	-5.96247495530842
Afghanistan	AFG	Gross fixed capital formation, private sector (% of GDP)	NE.GDI.FPRV.ZS	..
Afghanistan	AFG	High-technology exports (% of manufactured exports)	TX.VAL.TECH.MF.ZS	..
Afghanistan	AFG	ICT goods imports (% total goods imports)	TM.VAL.ICTG.ZS.UN	0.262056153
Afghanistan	AFG	Imports of goods and services (% of GDP)	NE.IMP.GNFS.ZS	49.0249772914306
Afghanistan	AFG	Individuals using the Internet (% of population)	IT.NET.USER.ZS	10.5957264186601
Afghanistan	AFG	Industry, value added (% of GDP)	NV.IND.TOTL.ZS	21.7039951873179
Afghanistan	AFG	Industry, value added (annual % growth)	NV.IND.TOTL.KD.ZG	-0.803844956829508
Afghanistan	AFG	Industry, value added (constant 2005 US$)	NV.IND.TOTL.KD	4371467337.30451
Afghanistan	AFG	Inflation, consumer prices (annual %)	FP.CPI.TOTL.ZG	2.169452176
Afghanistan	AFG	Informal payments to public officials (% of firms)	IC.FRM.CORR.ZS	..
Afghanistan	AFG	International migrant stock (% of population)	SM.POP.TOTL.ZS	..
Afghanistan	AFG	Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)	SL.TLF.CACT.FE.ZS	19.4190006256104
Afghanistan	AFG	Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)	SL.TLF.CACT.MA.ZS	86.7170028686523
Afghanistan	AFG	Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)	SL.TLF.CACT.ZS	54.234001159668
Afghanistan	AFG	Labor force with advanced education (% of total working-age population with advanced education)	SL.TLF.ADVN.ZS	..
Afghanistan	AFG	Labor force with advanced education, female (% of female working-age population with advanced education)	SL.TLF.ADVN.FE.ZS	..
Afghanistan	AFG	Labor force with advanced education, male (% of male working-age population with advanced education)	SL.TLF.ADVN.MA.ZS	..
Afghanistan	AFG	Labor force with basic education (% of total working-age population with basic education)	SL.TLF.BASC.ZS	..
Afghanistan	AFG	Labor force with basic education, female (% of female working-age population with basic education)	SL.TLF.BASC.FE.ZS	..
Afghanistan	AFG	Labor force with basic education, male (% of male working-age population with basic education)	SL.TLF.BASC.MA.ZS	..
Afghanistan	AFG	Labor force with intermediate education (% of total working-age population with intermediate education)	SL.TLF.INTM.ZS	..
Afghanistan	AFG	Labor force with intermediate education, female (% of female working-age population with intermediate education)	SL.TLF.INTM.FE.ZS	..
Afghanistan	AFG	Labor force with intermediate education, male (% of male working-age population with intermediate education)	SL.TLF.INTM.MA.ZS	..
Afghanistan	AFG	Labor force, total	SL.TLF.TOTL.IN	10551800
Afghanistan	AFG	Life expectancy at birth, female (years)	SP.DYN.LE00.FE.IN	65.024
Afghanistan	AFG	Life expectancy at birth, male (years)	SP.DYN.LE00.MA.IN	62.412
Afghanistan	AFG	Lifetime risk of maternal death (%)	SH.MMR.RISK.ZS	..
Afghanistan	AFG	Literacy rate, adult female (% of females ages 15 and above)	SE.ADT.LITR.FE.ZS	..
Afghanistan	AFG	Literacy rate, adult male (% of males ages 15 and above)	SE.ADT.LITR.MA.ZS	..
Afghanistan	AFG	Literacy rate, adult total (% of people ages 15 and above)	SE.ADT.LITR.ZS	..
Afghanistan	AFG	Literacy rate, youth female (% of females ages 15-24)	SE.ADT.1524.LT.FE.ZS	..
Afghanistan	AFG	Literacy rate, youth male (% of males ages 15-24)	SE.ADT.1524.LT.MA.ZS	..
Afghanistan	AFG	Literacy rate, youth total (% of people ages 15-24)	SE.ADT.1524.LT.ZS	..
Afghanistan	AFG	Manufacturing, value added (% of GDP)	NV.IND.MANF.ZS	11.3083308242137
Afghanistan	AFG	Manufacturing, value added (annual % growth)	NV.IND.MANF.KD.ZG	0.997972095588054
Afghanistan	AFG	Manufacturing, value added (constant 2005 US$)	NV.IND.MANF.KD	2209412088.03486
Afghanistan	AFG	Market capitalization of listed companies (% of GDP)	CM.MKT.LCAP.GD.ZS	..
Afghanistan	AFG	Mobile cellular subscriptions (per 100 people)	IT.CEL.SETS.P2	62.3354168186364
Afghanistan	AFG	New business density (new registrations per 1,000 people ages 15-64)	IC.BUS.NDNS.ZS	0.186023874981728
Afghanistan	AFG	New businesses registered (number)	IC.BUS.NREG	3492
Afghanistan	AFG	Number of visits or required meetings with tax officials	IC.TAX.METG	..
Afghanistan	AFG	Own-account workers, female (% of female employment) (modeled ILO estimate)	SL.EMP.OWAC.FE.ZS	11.0839996337891
Afghanistan	AFG	Own-account workers, male (% of male employment) (modeled ILO estimate)	SL.EMP.OWAC.MA.ZS	45.6119995117188
Afghanistan	AFG	Own-account workers, total (% of male employment) (modeled ILO estimate)	SL.EMP.OWAC.ZS	39.9179992675781
Afghanistan	AFG	Personal remittances, paid (current US$)	BM.TRF.PWKR.CD.DT	118216397.348387
Afghanistan	AFG	Personal transfers, receipts (BoP, current US$)	BX.TRF.PWKR.CD	277483515.060727
Afghanistan	AFG	Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	43.859524945037
Afghanistan	AFG	Population ages 0-14, total	SP.POP.0014.TO	15199971
Afghanistan	AFG	Population ages 15-64 (% of total)	SP.POP.1564.TO.ZS	53.5989174986911
Afghanistan	AFG	Population ages 15-64, total	SP.POP.1564.TO	18575258
Afghanistan	AFG	Population ages 65 and above (% of total)	SP.POP.65UP.TO.ZS	2.54155755627188
Afghanistan	AFG	Population ages 65 and above, total	SP.POP.65UP.TO	880803
Afghanistan	AFG	Population density (people per sq. km of land area)	EN.POP.DNST	53.0834053242655
Afghanistan	AFG	Population growth (annual %)	SP.POP.GROW	2.6891634730922
Afghanistan	AFG	Population, total	SP.POP.TOTL	34656032
Afghanistan	AFG	Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)	SI.POV.DDAY	..
Afghanistan	AFG	Prevalence of HIV, total (% of population ages 15-49)	SH.DYN.AIDS.ZS	..
Afghanistan	AFG	Primary completion rate, female (% of relevant age group)	SE.PRM.CMPT.FE.ZS	..
Afghanistan	AFG	Primary completion rate, male (% of relevant age group)	SE.PRM.CMPT.MA.ZS	..
Afghanistan	AFG	Primary completion rate, total (% of relevant age group)	SE.PRM.CMPT.ZS	..
Afghanistan	AFG	Private credit bureau coverage (% of adults)	IC.CRD.PRVT.ZS	0
Afghanistan	AFG	Public credit registry coverage (% of adults)	IC.CRD.PUBL.ZS	0.8
Afghanistan	AFG	Research and development expenditure (% of GDP)	GB.XPD.RSDV.GD.ZS	..
Afghanistan	AFG	Researchers in R&D (per million people)	SP.POP.SCIE.RD.P6	..
Afghanistan	AFG	Rural population	SP.RUR.TOTL	25985093
Afghanistan	AFG	Rural population (% of total population)	SP.RUR.TOTL.ZS	74.98
Afghanistan	AFG	School enrollment, primary (% gross)	SE.PRM.ENRR	..
Afghanistan	AFG	School enrollment, primary, female (% gross)	SE.PRM.ENRR.FE	..
Afghanistan	AFG	School enrollment, primary, male (% gross)	SE.PRM.ENRR.MA	..
Afghanistan	AFG	School enrollment, secondary (% gross)	SE.SEC.ENRR	..
Afghanistan	AFG	School enrollment, secondary (gross), gender parity index (GPI)	SE.ENR.SECO.FM.ZS	..
Afghanistan	AFG	School enrollment, secondary, female (% gross)	SE.SEC.ENRR.FE	..
Afghanistan	AFG	School enrollment, secondary, male (% gross)	SE.SEC.ENRR.MA	..
Afghanistan	AFG	School enrollment, tertiary (% gross)	SE.TER.ENRR	..
Afghanistan	AFG	School enrollment, tertiary (gross), gender parity index (GPI)	SE.ENR.TERT.FM.ZS	..
Afghanistan	AFG	School enrollment, tertiary, female (% gross)	SE.TER.ENRR.FE	..
Afghanistan	AFG	School enrollment, tertiary, male (% gross)	SE.TER.ENRR.MA	..
Afghanistan	AFG	Self-employed, female (% of female employment) (modeled ILO estimate)	SL.EMP.SELF.FE.ZS	69.4189987182617
Afghanistan	AFG	Self-employed, male (% of male employment) (modeled ILO estimate)	SL.EMP.SELF.MA.ZS	66.8190002441406
Afghanistan	AFG	Self-employed, total (% of total employment) (modeled ILO estimate)	SL.EMP.SELF.ZS	67.2480010986328
Afghanistan	AFG	Tax payments (number)	IC.TAX.PAYM	19
Afghanistan	AFG	Tax revenue (% of GDP)	GC.TAX.TOTL.GD.ZS	..
Afghanistan	AFG	Taxes on income, profits and capital gains (% of total taxes)	GC.TAX.YPKG.ZS	..
Afghanistan	AFG	Technicians in R&D (per million people)	SP.POP.TECH.RD.P6	..
Afghanistan	AFG	Telephone lines (per 100 people)	IT.MLT.MAIN.P2	0.329501080793093
Afghanistan	AFG	Time required to enforce a contract (days)	IC.LGL.DURS	1642
Afghanistan	AFG	Time required to obtain an operating license (days)	IC.FRM.DURS	..
Afghanistan	AFG	Time required to register property (days)	IC.PRP.DURS	250
Afghanistan	AFG	Time required to start a business (days)	IC.REG.DURS	7.5
Afghanistan	AFG	Time to prepare and pay taxes (hours)	IC.TAX.DURS	275
Afghanistan	AFG	Time to resolve insolvency (years)	IC.ISV.DURS	2
Afghanistan	AFG	Total employment, total (ages 15+)	SL.EMP.TOTL	9618882
Afghanistan	AFG	Unemployment with advanced education (% of total labor force with advanced education)	SL.UEM.ADVN.ZS	..
Afghanistan	AFG	Unemployment with advanced education, female (% of female labor force with advanced education)	SL.UEM.ADVN.FE.ZS	..
Afghanistan	AFG	Unemployment with advanced education, male (% of male labor force with advanced education)	SL.UEM.ADVN.MA.ZS	..
Afghanistan	AFG	Unemployment with intermediate education (% of total labor force with intermediate education)	SL.UEM.INTM.ZS	..
Afghanistan	AFG	Unemployment with intermediate education, female (% of female labor force with intermediate education)	SL.UEM.INTM.FE.ZS	..
Afghanistan	AFG	Unemployment with intermediate education, male (% of male labor force with intermediate education)	SL.UEM.INTM.MA.ZS	..
Afghanistan	AFG	Unemployment, female (% of female labor force) (modeled ILO estimate)	SL.UEM.TOTL.FE.ZS	13.0159997940063
Afghanistan	AFG	Unemployment, male (% of male labor force) (modeled ILO estimate)	SL.UEM.TOTL.MA.ZS	7.9689998626709
Afghanistan	AFG	Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	8.84099960327148
Afghanistan	AFG	Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)	SL.UEM.1524.FE.ZS	21.7360000610352
Afghanistan	AFG	Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)	SL.UEM.1524.MA.ZS	16.8159999847412
Afghanistan	AFG	Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)	SL.UEM.1524.ZS	17.8819999694824
Afghanistan	AFG	Urban population	SP.URB.TOTL	8670939
Afghanistan	AFG	Urban population (% of total)	SP.URB.TOTL.IN.ZS	25.02
Afghanistan	AFG	Vulnerable employment, female (% of female employment) (modeled ILO estimate)	SL.EMP.VULN.FE.ZS	69.1279983520508
Afghanistan	AFG	Vulnerable employment, male (% of male employment) (modeled ILO estimate)	SL.EMP.VULN.MA.ZS	65.3869991302491
Afghanistan	AFG	Vulnerable employment, total (% of total employment) (modeled ILO estimate)	SL.EMP.VULN.ZS	66.003999710083
Afghanistan	AFG	Wage and salaried workers, female (% of female employment) (modeled ILO estimate)	SL.EMP.WORK.FE.ZS	30.5809993743896
Afghanistan	AFG	Wage and salaried workers, male (% of male employment) (modeled ILO estimate)	SL.EMP.WORK.MA.ZS	33.1809997558594
Afghanistan	AFG	Wage and salaried workers, total (% of total employment) (modeled ILO estimate)	SL.EMP.WORK.ZS	32.7519989013672
Albania	ALB	Access to electricity (% of population)	EG.ELC.ACCS.ZS	100
Albania	ALB	Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	20.6796
Albania	ALB	Age dependency ratio (% of working-age population)	SP.POP.DPND	44.0015401014685
Albania	ALB	Agriculture, value added (% of GDP)	NV.AGR.TOTL.ZS	19.9067237914091
Albania	ALB	Agriculture, value added (annual % growth)	NV.AGR.TOTL.KD.ZG	1.6696078024581
Albania	ALB	Agriculture, value added (constant 2005 US$)	NV.AGR.TOTL.KD	2498447730.72608
Albania	ALB	Air transport, registered carrier departures worldwide	IS.AIR.DPRT	306
Albania	ALB	Automated teller machines (ATMs) (per 100,000 adults)	FB.ATM.TOTL.P5	33.8068122098151
Albania	ALB	Borrowers from commercial banks (per 1,000 adults)	FB.CBK.BRWR.P3	157.797944425991
Albania	ALB	Consumer price index (2010 = 100)	FP.CPI.TOTL	112.834428489197
Albania	ALB	Contributing family workers, female (% of female employment) (modeled ILO estimate)	SL.FAM.WORK.FE.ZS	40.3009986877441
Albania	ALB	Contributing family workers, male (% of male employment) (modeled ILO estimate)	SL.FAM.WORK.MA.ZS	22.5219993591309
Albania	ALB	Contributing family workers, total (% of total employment) (modeled ILO estimate)	SL.FAM.WORK.ZS	30.0470008850098
Albania	ALB	CPIA economic management cluster average (1=low to 6=high)	IQ.CPA.ECON.XQ	..
Albania	ALB	CPIA financial sector rating (1=low to 6=high)	IQ.CPA.FINS.XQ	..
Albania	ALB	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ	..
Albania	ALB	CPIA macroeconomic management rating (1=low to 6=high)	IQ.CPA.MACR.XQ	..
Albania	ALB	CPIA policies for social inclusion/equity cluster average (1=low to 6=high)	IQ.CPA.SOCI.XQ	..
Albania	ALB	CPIA property rights and rule-based governance rating (1=low to 6=high)	IQ.CPA.PROP.XQ	..
Albania	ALB	CPIA social protection rating (1=low to 6=high)	IQ.CPA.PROT.XQ	..
Albania	ALB	Depth of credit information index (0=low to 8=high)	IC.CRD.INFO.XQ	6
Albania	ALB	Domestic credit provided by financial sector (% of GDP)	FS.AST.DOMS.GD.ZS	66.1618790118464
Albania	ALB	Domestic credit to private sector (% of GDP)	FS.AST.PRVT.GD.ZS	36.5577583244307
Albania	ALB	Ease of doing business index (1=most business-friendly regulations)	IC.BUS.EASE.XQ	..
Albania	ALB	Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	..
Albania	ALB	Employers, female (% of female employment) (modeled ILO estimate)	SL.EMP.MPYR.FE.ZS	1.01999998092651
Albania	ALB	Employers, male (% of male employment) (modeled ILO estimate)	SL.EMP.MPYR.MA.ZS	3.47300004959106
Albania	ALB	Employers, total (% of total employment) (modeled ILO estimate)	SL.EMP.MPYR.ZS	2.43499994277954
Albania	ALB	Employment in agriculture (% of total employment) (modeled ILO estimate)	SL.AGR.EMPL.ZS	40.6590003967285
Albania	ALB	Employment in agriculture, female (% of female employment) (modeled ILO estimate)	SL.AGR.EMPL.FE.ZS	47.2719993591309
Albania	ALB	Employment in agriculture, male (% of male employment) (modeled ILO estimate)	SL.AGR.EMPL.MA.ZS	35.8059997558594
Albania	ALB	Employment in industry (% of total employment) (modeled ILO estimate)	SL.IND.EMPL.ZS	18.4529991149902
Albania	ALB	Employment in industry, female (% of female employment) (modeled ILO estimate)	SL.IND.EMPL.FE.ZS	13.6520004272461
Albania	ALB	Employment in industry, male (% of male employment) (modeled ILO estimate)	SL.IND.EMPL.MA.ZS	21.9759998321533
Albania	ALB	Employment in services (% of total employment) (modeled ILO estimate)	SL.SRV.EMPL.ZS	40.8880004882813
Albania	ALB	Employment in services, female (% of female employment) (modeled ILO estimate)	SL.SRV.EMPL.FE.ZS	39.076000213623
Albania	ALB	Employment in services, male (% of male employment) (modeled ILO estimate)	SL.SRV.EMPL.MA.ZS	42.2169990539551
Albania	ALB	Export value index (2000 = 100)	TX.VAL.MRCH.XD.WD	750.385083
Albania	ALB	Export volume index (2000 = 100)	TX.QTY.MRCH.XD.WD	556.6603641
Albania	ALB	Exports of goods and services (% of GDP)	NE.EXP.GNFS.ZS	28.9234170998698
Albania	ALB	Exports of goods and services (annual % growth)	NE.EXP.GNFS.KD.ZG	11.3405963115299
Albania	ALB	Fertility rate, total (births per woman)	SP.DYN.TFRT.IN	1.713
Albania	ALB	Fixed broadband Internet subscribers (per 100 people)	IT.NET.BBND.P2	9.10277930034295
Albania	ALB	Foreign direct investment, net inflows (% of GDP)	BX.KLT.DINV.WD.GD.ZS	8.78673446886916
Albania	ALB	Foreign direct investment, net outflows (% of GDP)	BM.KLT.DINV.WD.GD.ZS	0.0592091751160614
Albania	ALB	Fuel exports (% of merchandise exports)	TX.VAL.FUEL.ZS.UN	11.1789815992628
Albania	ALB	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	3.35215921082479
Albania	ALB	GDP per capita (constant 2005 US$)	NY.GDP.PCAP.KD	4683.80021257139
Albania	ALB	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	11356.3413288171
Albania	ALB	GDP per person employed (constant 1990 PPP $)	SL.GDP.PCAP.EM.KD	28602.626953125
Albania	ALB	GINI index (World Bank estimate)	SI.POV.GINI	..
Albania	ALB	Government expenditure on education, total (% of GDP)	SE.XPD.TOTL.GD.ZS	..
Albania	ALB	Gross capital formation (% of GDP)	NE.GDI.TOTL.ZS	24.778698675683
Albania	ALB	Gross capital formation (annual % growth)	NE.GDI.TOTL.KD.ZG	3.34051195509338
Albania	ALB	Gross fixed capital formation, private sector (% of GDP)	NE.GDI.FPRV.ZS	..
Albania	ALB	High-technology exports (% of manufactured exports)	TX.VAL.TECH.MF.ZS	0.647750656841347
Albania	ALB	ICT goods imports (% total goods imports)	TM.VAL.ICTG.ZS.UN	2.9414365045
Albania	ALB	Imports of goods and services (% of GDP)	NE.IMP.GNFS.ZS	45.7458451002575
Albania	ALB	Individuals using the Internet (% of population)	IT.NET.USER.ZS	66.363444701023
Albania	ALB	Industry, value added (% of GDP)	NV.IND.TOTL.ZS	21.1307335158559
Albania	ALB	Industry, value added (annual % growth)	NV.IND.TOTL.KD.ZG	2.07321394165648
Albania	ALB	Industry, value added (constant 2005 US$)	NV.IND.TOTL.KD	2837698403.31817
Albania	ALB	Inflation, consumer prices (annual %)	FP.CPI.TOTL.ZG	1.282798834
Albania	ALB	Informal payments to public officials (% of firms)	IC.FRM.CORR.ZS	..
Albania	ALB	International migrant stock (% of population)	SM.POP.TOTL.ZS	..
Albania	ALB	Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)	SL.TLF.CACT.FE.ZS	47.4389991760254
Albania	ALB	Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)	SL.TLF.CACT.MA.ZS	65.0530014038086
Albania	ALB	Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)	SL.TLF.CACT.ZS	56.2779998779297
Albania	ALB	Labor force with advanced education (% of total working-age population with advanced education)	SL.TLF.ADVN.ZS	..
Albania	ALB	Labor force with advanced education, female (% of female working-age population with advanced education)	SL.TLF.ADVN.FE.ZS	..
Albania	ALB	Labor force with advanced education, male (% of male working-age population with advanced education)	SL.TLF.ADVN.MA.ZS	..
Albania	ALB	Labor force with basic education (% of total working-age population with basic education)	SL.TLF.BASC.ZS	..
Albania	ALB	Labor force with basic education, female (% of female working-age population with basic education)	SL.TLF.BASC.FE.ZS	..
Albania	ALB	Labor force with basic education, male (% of male working-age population with basic education)	SL.TLF.BASC.MA.ZS	..
Albania	ALB	Labor force with intermediate education (% of total working-age population with intermediate education)	SL.TLF.INTM.ZS	..
Albania	ALB	Labor force with intermediate education, female (% of female working-age population with intermediate education)	SL.TLF.INTM.FE.ZS	..
Albania	ALB	Labor force with intermediate education, male (% of male working-age population with intermediate education)	SL.TLF.INTM.MA.ZS	..
Albania	ALB	Labor force, total	SL.TLF.TOTL.IN	1331755
Albania	ALB	Life expectancy at birth, female (years)	SP.DYN.LE00.FE.IN	80.451
Albania	ALB	Life expectancy at birth, male (years)	SP.DYN.LE00.MA.IN	76.389
Albania	ALB	Lifetime risk of maternal death (%)	SH.MMR.RISK.ZS	..
Albania	ALB	Literacy rate, adult female (% of females ages 15 and above)	SE.ADT.LITR.FE.ZS	..
Albania	ALB	Literacy rate, adult male (% of males ages 15 and above)	SE.ADT.LITR.MA.ZS	..
Albania	ALB	Literacy rate, adult total (% of people ages 15 and above)	SE.ADT.LITR.ZS	..
Albania	ALB	Literacy rate, youth female (% of females ages 15-24)	SE.ADT.1524.LT.FE.ZS	..
Albania	ALB	Literacy rate, youth male (% of males ages 15-24)	SE.ADT.1524.LT.MA.ZS	..
Albania	ALB	Literacy rate, youth total (% of people ages 15-24)	SE.ADT.1524.LT.ZS	..
Albania	ALB	Manufacturing, value added (% of GDP)	NV.IND.MANF.ZS	5.66197272870854
Albania	ALB	Manufacturing, value added (annual % growth)	NV.IND.MANF.KD.ZG	4.32769744405491
Albania	ALB	Manufacturing, value added (constant 2005 US$)	NV.IND.MANF.KD	711571966.188291
Albania	ALB	Market capitalization of listed companies (% of GDP)	CM.MKT.LCAP.GD.ZS	..
Albania	ALB	Mobile cellular subscriptions (per 100 people)	IT.CEL.SETS.P2	115.152264870754
Albania	ALB	New business density (new registrations per 1,000 people ages 15-64)	IC.BUS.NDNS.ZS	1.35232477197503
Albania	ALB	New businesses registered (number)	IC.BUS.NREG	2679
Albania	ALB	Number of visits or required meetings with tax officials	IC.TAX.METG	..
Albania	ALB	Own-account workers, female (% of female employment) (modeled ILO estimate)	SL.EMP.OWAC.FE.ZS	16.6860008239746
Albania	ALB	Own-account workers, male (% of male employment) (modeled ILO estimate)	SL.EMP.OWAC.MA.ZS	34.4819984436035
Albania	ALB	Own-account workers, total (% of male employment) (modeled ILO estimate)	SL.EMP.OWAC.ZS	26.9500007629395
Albania	ALB	Personal remittances, paid (current US$)	BM.TRF.PWKR.CD.DT	147128144.977279
Albania	ALB	Personal transfers, receipts (BoP, current US$)	BX.TRF.PWKR.CD	996001354.462477
Albania	ALB	Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	17.7223966527563
Albania	ALB	Population ages 0-14, total	SP.POP.0014.TO	509714
Albania	ALB	Population ages 15-64 (% of total)	SP.POP.1564.TO.ZS	69.4436888572377
Albania	ALB	Population ages 15-64, total	SP.POP.1564.TO	1997271
